PRI_NEIGH,SEC_NEIGH,SHAPE_AREA,SHAPE_LEN,PNTCNT
Grand Boulevard,BRONZEVILLE,48492503.15540000100,28196.83715700000,0
Printers Row,PRINTERS ROW,2162137.97139000010,6864.24715600000,3
United Center,UNITED CENTER,32520512.70530000000,23101.36374500000,56
Sheffield & DePaul,SHEFFIELD & DEPAUL,10482592.29869999900,13227.04974500000,2
Humboldt Park,HUMBOLDT PARK,125010425.59299999000,46126.75135100000,9
Garfield Park,GARFIELD PARK,89976069.59469999400,44460.91922000000,5
North Lawndale,NORTH LAWNDALE,89487422.02439999600,44959.45966300000,0
Little Village,LITTLE VILLAGE,127998297.81900001000,49904.04003000000,0
Armour Square,"ARMOUR SQUARE,CHINATOWN",17141468.63560000100,24359.18962500000,0
Avalon Park,"AVALON PARK,CALUMET HEIGHTS",34852737.73659999700,27630.82253400000,1
Burnside,"CHATHAM,BURNSIDE",16995983.27369999900,18137.94425300000,0
Calumet Heights,"AVALON PARK,CALUMET HEIGHTS",48826241.56430000100,32925.36587100000,0
Pullman,PULLMAN,59001555.60199999800,35572.06950800000,0
Riverdale,RIVERDALE,98389497.41429999500,46455.44085700000,0
Hegewisch,SOUTHEAST SIDE,145965741.43700001000,73692.38213200000,0
Douglas,BRONZEVILLE,46004621.13700000200,31027.05367100000,3
Oakland,"OAKLAND,KENWOOD",16913961.04080000100,19565.50615300000,0
Fuller Park,BACK OF THE YARDS,19916704.86919999900,25339.08975000000,0
Woodlawn,WOODLAWN,40515739.08299999700,28960.05903700000,0
Portage Park,PORTAGE PARK,110196097.13900000000,46520.64213800000,1
Hermosa,"BELMONT CRAIGIN,HERMOSA",32602059.40549999800,27179.01743800000,1
Avondale,"IRVING PARK,AVONDALE",55290595.48200000100,34261.93340400000,6
Logan Square,LOGAN SQUARE,71256806.55179999800,36361.50851800000,2
"Little Italy, UIC","LITTLE ITALY, UIC",71376244.12250000200,36568.46428900000,111
Kenwood,"KENWOOD,OAKLAND",29071741.92830000100,23325.16790600000,0
Rogers Park,ROGERS PARK,51259902.45059999800,34052.39757600000,0
Jefferson Park,JEFFERSON PARK,64868161.68190000200,44011.95717000000,3
"Sauganash,Forest Glen","SAUGANASH,FOREST GLEN",89130893.63639999900,74493.82160400000,0
North Park,"NORTH PARK,ALBANY PARK",70288706.43430000500,41581.94865400000,1
Albany Park,"NORTH PARK,ALBANY PARK",53542230.81899999800,39339.01643900000,1
Irving Park,"IRVING PARK,AVONDALE",89611382.31059999800,49083.22409400000,35
Dunning,DUNNING,103595001.17500000000,54555.99253400000,0
West Ridge,WEST RIDGE,98429094.86210000500,43020.68945800000,3
Uptown,UPTOWN,65095642.83600000300,46972.79018200000,2
Norwood Park,NORWOOD PARK,121959105.47000000000,80368.37437799999,1
Streeterville,STREETERVILLE,17894338.81509999900,40084.16147100000,1
South Shore,"SOUTH SHORE, GRAND CROSSING",81812716.39040000700,44249.64517800000,0
Chatham,"CHATHAM,BURNSIDE",82320670.31119999300,42006.94500900000,0
South Chicago,SOUTH CHICAGO,93272185.00920000700,52435.97943100000,0
Roseland,"WASHINGTON HEIGHTS,ROSELAND",134313706.72999999000,56632.79542900000,0
North Center,NORTH CENTER,57054167.85000000100,31391.66975400000,15
South Deering,SOUTHEAST SIDE,303797059.66000003000,80389.87179999999,0
East Side,SOUTHEAST SIDE,83241728.04930000000,52274.19284900000,1
West Pullman,WEST PULLMAN,99365198.08220000600,50023.84300100000,0
Garfield Ridge,MIDWAY AIRPORT,117890778.42900001000,60080.44797000000,0
New City,BACK OF THE YARDS,134636963.25400001000,48133.59596100000,3
Englewood,ENGLEWOOD,173600015.00900000000,56144.04604800000,0
Grand Crossing,"SOUTH SHORE, GRAND CROSSING",98853167.70929999600,54645.33030000000,1
Ashburn,ASHBURN,135460337.20800000000,54818.15463200000,0
Mount Greenwood,"MOUNT GREENWOOD,MORGAN PARK",75584290.02089999600,48665.13053900000,0
Morgan Park,"MOUNT GREENWOOD,MORGAN PARK",91877340.69879999800,46396.41936200000,0
O'Hare,OHARE,371835607.68699998000,173625.98465999999,0
Jackson Park,JACKSON PARK,23545658.77719999800,32779.73078000000,0
Loop,LOOP,31485185.03180000200,52640.90756300000,115
Greektown,GREEKTOWN,1650645.84189000000,6099.31064600000,0
Museum Campus,MUSEUM CAMPUS,15517071.16310000000,35127.15198400000,0
Edgewater,EDGEWATER,38865397.67180000200,31012.83416000000,0
Lake View,LAKE VIEW,76561177.25620000100,69715.29313000001,7
Lincoln Park,LINCOLN PARK,67401451.37170000400,61856.51647200000,7
Magnificent Mile,STREETERVILLE,882405.08615999995,9154.56711500000,0
Lincoln Square,LINCOLN SQUARE,71352328.23989999300,36624.60308500000,1
Washington Park,WASHINGTON PARK,42373881.48420000100,28175.31608700000,0
Millenium Park,MILLENIUM PARK,2775228.37926999990,7567.38558000000,3
Near South Side,NEAR SOUTH SIDE,34252582.70030000100,26884.58920400000,7
Chicago Lawn,"MARQUETTE PARK,GAGE PARK",98279465.11509999600,40073.09983800000,0
Auburn Gresham,AUBURN GRESHAM,105065353.60200000000,46757.72171600000,2
Beverly,BEVERLY,88779363.93840000000,44591.48510100000,0
Washington Heights,"WASHINGTON HEIGHTS,ROSELAND",79635752.87690000200,42222.59816300000,1
Edison Park,EDISON PARK,31636313.78640000100,25937.22684100000,0
Hyde Park,HYDE PARK,38859161.84369999900,28013.02791900000,1
Grant Park,GRANT PARK,8974786.19635000080,13171.69806700000,0
West Loop,WEST LOOP,52945063.89670000200,43907.67182100000,74
Bucktown,BUCKTOWN,28800760.14119999900,26109.10761000000,78
Lower West Side,LOWER WEST SIDE,81550723.82310000100,43229.36880700000,11
Wrigleyville,WRIGLEYVILLE,7287843.05188000020,12154.65057100000,0
Andersonville,ANDERSONVILLE,9584592.89905999970,12534.09262500000,0
Rush & Division,RUSH & DIVISION,3489575.80159999990,8503.03313300000,0
Archer Heights,"ARCHER HEIGHTS,WEST ELSDON",55922505.72119999700,31880.02103000000,0
Brighton Park,"BRIGHTON PARK,MCKINLEY PARK",75892790.31139999600,36537.13430600000,0
Mckinley Park,"BRIGHTON PARK,MCKINLEY PARK",39431799.64790000000,26014.09683700000,0
Bridgeport,BRIDGEPORT,58291519.27600000100,32732.71832700000,16
West Elsdon,"ARCHER HEIGHTS,WEST ELSDON",32711091.42590000100,26229.69560100000,1
Gage Park,"MARQUETTE PARK,GAGE PARK",61284896.11320000100,32294.19591100000,1
Clearing,MIDWAY AIRPORT,71145192.38269999600,45363.28617500000,0
West Lawn,WEST LAWN,82315301.68310000000,41934.49013100000,0
Chinatown,"ARMOUR SQUARE,CHINATOWN",10624727.46050000000,14452.76625700000,3
East Village,UKRAINIAN VILLAGE AND EAST VILLAGE,7050048.46887999960,10620.66288400000,0
West Town,"WICKER PARK,WEST TOWN",58507728.42109999800,46673.62054600000,65
Wicker Park,"WICKER PARK,WEST TOWN",26853193.09259999900,21992.66094600000,4
Galewood,"MONTCLARE, GALEWOOD",29257505.71999999900,25124.77045500000,0
Montclare,"MONTCLARE, GALEWOOD",27535347.85860000200,22829.53362600000,0
Belmont Cragin,"BELMONT CRAGIN,HERMOSA",109099407.21100000000,43311.70688600000,0
Austin,AUSTIN,170037750.82600001000,55473.34591100000,1
Ukrainian Village,UKRAINIAN VILLAGE AND EAST VILLAGE,10622385.57760000000,13311.46979600000,5
Old Town,OLD TOWN,19847998.96110000100,17905.72867600000,11
Gold Coast,GOLD COAST,7165705.53467000000,13685.47937700000,1
Boystown,BOYSTOWN,3365778.97115000010,9780.26898500000,0
River North,RIVER NORTH,38766442.51940000100,31506.03781000000,26
